Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BBPK77;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BFPH82;sitrack;ENVASADO;303;0.0;68887;191035;58;782;7.2;82.5;0.6;1.3;2.6;84.3;0.0;0.0;0.0;0.0;;;;;
20230202;BFPH82;sitrack;ENVASADO;349;0.0;88456;148282;56;590;8.0;83.0;1.4;0.2;3.7;63.5;0.0;0.0;0.0;0.0;;;;;
20230203;BFPH82;sitrack;ENVASADO;161;0.0;92646;59702;55;1236;8.6;77.0;1.2;0.6;8.6;62.7;0.0;0.0;0.0;0.0;;;;;
20230204;BFPH82;sitrack;ENVASADO;146;0.0;63257;87316;58;1098;10.2;76.0;1.3;0.0;5.4;86.0;3.7;3.7;3.7;0.0;;;;;
20230205;BFPH82;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BFPH82;sitrack;ENVASADO;411;0.0;194473;281621;59;2242;5.1;89.2;1.2;0.4;2.1;67.4;0.0;0.0;0.0;0.0;;;;;
20230207;BFPH82;sitrack;ENVASADO;177;0.0;85912;85659;57;1575;8.4;77.4;1.6;0.5;8.4;38.2;0.0;0.0;0.0;0.0;;;;;
20230208;BFPH82;sitrack;ENVASADO;229;0.0;70864;100574;56;626;7.4;85.1;1.3;0.4;3.0;72.6;0.0;0.0;0.0;0.0;;;;;
20230209;BFPH82;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BGCX88;sitrack;ENVASADO;124;0.0;9987;34226;56;115;8.8;82.2;3.2;0.8;2.4;18.0;0.0;0.0;0.0;0.0;;;;;
20230202;BGCX88;sitrack;ENVASADO;97;0.0;82841;29543;55;2092;10.3;83.5;3.0;0.0;2.0;14.3;0.0;0.0;0.0;0.0;;;;;
20230203;BGCX88;sitrack;ENVASADO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
