Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;JLKP82;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;KPBL74;onelogis;EMERGENCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
