Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;BGDT-72;gpschile;RAMPLA;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230202;BGDT-72;gpschile;RAMPLA;1;0;86402;0;0;86402;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230203;BGDT-72;gpschile;RAMPLA;316;0.0;107824;65815;49;514;12.3;80.0;2.8;0.6;1.2;57.3;0.0;0.0;0.0;0.0;;;;;
20230204;BGDT-72;gpschile;RAMPLA;7;0.0;365;18;0;52;14.2;85.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;BGDT-72;gpschile;RAMPLA;5;0.0;158036;11;0;31607;40.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;BGDT-72;gpschile;RAMPLA;56;0.0;68049;316;0;1260;10.7;76.7;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;BGDT-72;gpschile;RAMPLA;90;0.0;88430;539;0;1103;0.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;BGDT-72;gpschile;RAMPLA;444;0.0;110425;298581;54;542;6.9;89.4;0.2;0.4;0.4;87.2;0.0;0.0;0.0;0.0;;;;;
20230209;BGDT-72;gpschile;RAMPLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BKCT-16;gpschile;SIMPLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;DCWH-91;gpschile;SIMPLE;47;0.0;43324;82;0;1030;48.9;23.4;12.7;0.0;6.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;DCWH-91;gpschile;SIMPLE;967;0.0;92022;272779;45;163;16.3;81.9;0.0;0.0;0.0;47.6;0.0;0.0;0.0;0.0;;;;;
20230203;DCWH-91;gpschile;SIMPLE;692;0.0;91253;62139;36;181;16.9;81.7;0.1;0.0;0.0;16.2;0.0;0.0;0.0;0.0;;;;;
20230204;DCWH-91;gpschile;SIMPLE;566;0.0;72676;126297;51;217;8.1;87.6;0.1;0.0;0.0;41.2;0.0;0.0;0.0;0.0;;;;;
20230205;DCWH-91;gpschile;SIMPLE;34;0;85055;0;0;3150;58.8;5.8;0.0;8.8;0.0;0;0;0;0;0;;;;;
20230206;DCWH-91;gpschile;SIMPLE;95;0.0;89513;1288;60;1113;5.2;84.2;0.0;2.1;6.3;0.0;0.0;0.0;0.0;0.0;;;;;
