Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;CRKG14;gpschile;Cecilia A;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230202;CRKG14;gpschile;Cecilia A;1;0;86402;0;0;86402;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230203;CRKG14;gpschile;Cecilia A;1;0;86402;0;0;86402;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230204;CRKG14;gpschile;Cecilia A;1;0;86403;0;0;86403;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230205;CRKG14;gpschile;Cecilia A;1;0;86402;0;0;86402;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230206;CRKG14;gpschile;Cecilia A;1;0;86403;0;0;86403;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230207;CRKG14;gpschile;Cecilia A;1;0;86403;0;0;86403;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230208;CRKG14;gpschile;Cecilia A;1;0;86401;0;0;86401;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230209;CRKG14;gpschile;Cecilia A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;CYRY27;gpschile;Saavedra;469;0.0;84055;131567;43;1017;27.9;70.1;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;CYRY27;gpschile;Saavedra;434;0.0;88014;125173;41;1066;29.9;68.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;CYRY27;gpschile;Saavedra;436;0.0;74542;123355;41;1077;30.2;68.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;CYRY27;gpschile;Saavedra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;CYRY27;gpschile;Saavedra;2;0;184466;0;0;92233;0.0;50.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230206;CYRY27;gpschile;Saavedra;284;0.0;70779;75029;42;1018;26.4;70.7;0.3;0.3;0.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;CYRY27;gpschile;Saavedra;18;0.0;89562;21;0;4975;66.6;22.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;CYRY27;gpschile;Saavedra;16;0.0;73909;650;60;5675;25.0;43.7;6.2;0.0;12.5;0.0;0.0;0.0;0.0;0.0;;;;;
