Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;KTBG33;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KZPH82;samtech;SEMDE BATEA;1895;0.0;86362;309792;26;359;52.5;0.3;0.4;0.5;1.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;KZPH82;samtech;SEMDE BATEA;547;0.0;84823;73290;24;1104;47.3;0.0;0.5;0.1;3.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;KZPH82;samtech;SEMDE BATEA;695;0.0;86398;234640;28;1765;55.2;0.0;0.0;0.0;3.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;KZPH82;samtech;SEMDE BATEA;39;0.0;86411;245;0;3600;0.0;0.0;0.0;0.0;61.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;KZPH82;samtech;SEMDE BATEA;35;0.0;86416;272;0;3600;0.0;0.0;0.0;0.0;68.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;KZPH82;samtech;SEMDE BATEA;118;0.0;86406;363;19;1182;40.6;0.8;1.6;0.8;21.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;KZPH82;samtech;SEMDE BATEA;41;0.0;86399;184;0;3599;0.0;0.0;0.0;0.0;58.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;KZPH82;samtech;SEMDE BATEA;133;0.0;79191;538;18;1436;28.5;0.7;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;KZPH82;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KZPH83;samtech;SEMDE BATEA;3332;0.0;86249;551240;28;129;48.4;0.1;0.2;0.2;0.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;KZPH83;samtech;SEMDE BATEA;1806;0.0;85338;388835;28;536;48.6;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;KZPH83;samtech;SEMDE BATEA;1237;0.0;86550;236979;26;274;55.6;0.1;0.1;0.0;0.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;KZPH83;samtech;SEMDE BATEA;37;0.0;86565;201;0;3606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;KZPH83;samtech;SEMDE BATEA;30;0.0;86564;162;0;3606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;KZPH83;samtech;SEMDE BATEA;41;0.0;86564;181;0;3606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;KZPH83;samtech;SEMDE BATEA;53;0.0;86556;206;0;2792;11.3;0.0;0.0;0.0;3.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;KZPH83;samtech;SEMDE BATEA;21;0.0;52797;114;0;3519;0.0;0.0;0.0;0.0;4.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;KZPH83;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;KZPH84;samtech;SEMDE BATEA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KZPH85;samtech;SEMDE BATEA;2219;0.0;85488;325338;26;285;50.2;0.3;0.2;0.2;1.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;KZPH85;samtech;SEMDE BATEA;609;0.0;86244;77182;25;1200;44.0;0.4;0.4;0.1;4.1;0.0;0.0;0.0;0.0;0.0;;;;;
