Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;JYJK91;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;JYJK91;wisetrack;TANDEM;41;0.0;16337;677;60;495;17.0;70.7;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;JYJK91;wisetrack;TANDEM;216;0.0;104039;82246;59;1674;7.8;86.1;2.3;0.4;1.3;36.0;0.0;0.0;0.0;0.0;;;;;
20230204;JYJK91;wisetrack;TANDEM;11;0.0;80633;201;0;7330;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;JYJK91;wisetrack;TANDEM;12;0.0;88000;282;0;7333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;JYJK91;wisetrack;TANDEM;12;0.0;88014;282;0;7334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;JYJK91;wisetrack;TANDEM;43;0.0;59291;349;26;1338;11.6;60.4;6.9;0.0;2.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;JYJK91;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;JYJK91;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;JYJL12;wisetrack;TANDEM;164;0.0;34143;36668;60;336;11.5;75.6;5.4;1.2;4.2;2.9;0.0;0.0;0.0;0.0;;;;;
20230202;JYJL12;wisetrack;TANDEM;401;0.0;82021;36553;58;254;14.2;78.0;2.9;1.2;2.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;JYJL12;wisetrack;TANDEM;117;0.0;89009;7357;57;1060;23.9;54.7;7.6;1.7;7.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;JYJL12;wisetrack;TANDEM;189;0.0;82850;41602;59;875;18.5;71.4;2.6;1.0;3.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;JYJL12;wisetrack;TANDEM;291;0.0;91258;47744;59;540;12.0;77.3;5.4;0.3;3.0;2.8;0.0;0.0;0.0;0.0;;;;;
20230206;JYJL12;wisetrack;TANDEM;154;0.0;79600;12167;58;683;16.8;67.5;3.8;2.5;3.8;9.7;0.0;0.0;0.0;0.0;;;;;
20230207;JYJL12;wisetrack;TANDEM;43;0.0;87785;1962;53;2589;25.5;34.8;18.6;0.0;9.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;JYJL12;wisetrack;TANDEM;151;0.0;86916;12849;57;1023;18.5;66.8;2.6;1.9;5.9;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;JYJL12;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;JYJL13;wisetrack;TANDEM;98;0.0;24446;28472;58;532;13.2;81.6;0.0;1.0;2.0;14.9;0.0;0.0;0.0;0.0;;;;;
20230202;JYJL13;wisetrack;TANDEM;188;0.0;91484;35574;59;817;10.1;80.8;3.1;1.0;2.6;8.0;0.0;0.0;0.0;0.0;;;;;
20230203;JYJL13;wisetrack;TANDEM;397;40.6;80811;44916;59;247;4.2;89.6;2.0;0.5;2.5;29.5;0.0;0.0;0.0;0.0;;;C;;
20230204;JYJL13;wisetrack;TANDEM;82;0.0;91929;8523;58;1421;3.6;86.5;1.2;0.0;1.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;JYJL13;wisetrack;TANDEM;515;0.0;80467;337315;59;318;2.7;93.3;1.7;0.0;1.5;72.5;2.3;1.7;1.7;1.7;;;;;
20230206;JYJL13;wisetrack;TANDEM;126;0.0;92321;3556;56;822;11.9;72.2;4.7;1.5;4.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;JYJL13;wisetrack;TANDEM;408;0.0;80796;217161;60;328;1.2;96.0;0.7;0.0;0.9;82.3;1.2;1.2;0.0;0.0;;;;;
20230208;JYJL13;wisetrack;TANDEM;123;0.0;83745;12133;59;1178;7.3;81.3;1.6;0.8;4.8;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;JYJL13;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;JYJL14;wisetrack;TANDEM;186;0.0;21842;194619;60;489;5.9;89.2;1.6;0.5;1.0;84.1;1.1;0.0;0.0;0.0;;;;;
20230202;JYJL14;wisetrack;TANDEM;434;0.0;84405;387054;60;723;6.9;90.5;0.6;0.2;0.6;84.3;0.0;0.0;0.0;0.0;;;;;
20230203;JYJL14;wisetrack;TANDEM;364;0.0;86660;285709;59;696;9.3;86.8;0.8;0.2;1.6;79.6;0.0;0.0;0.0;0.0;;;;;
20230204;JYJL14;wisetrack;TANDEM;513;0.0;85241;286381;59;316;15.0;81.4;0.5;1.1;0.7;72.6;0.0;0.0;0.0;0.0;;;;;
20230205;JYJL14;wisetrack;TANDEM;371;0.0;82412;257394;60;506;8.8;87.8;0.2;0.8;0.8;76.7;3.5;3.5;2.4;2.4;;;;;
20230206;JYJL14;wisetrack;TANDEM;50;0.0;91834;16275;58;1950;40.0;38.0;6.0;0.0;2.0;97.3;97.3;97.3;97.3;97.3;;B1;;;
20230207;JYJL14;wisetrack;TANDEM;545;0.0;91099;382627;60;335;17.9;72.8;5.3;1.8;1.1;87.4;1.4;0.7;0.0;0.0;;;;;
20230208;JYJL14;wisetrack;TANDEM;1;0.0;7327;28;0;7327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;JYJL14;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;KDPS73;wisetrack;TANDEM;338;4.4;33432;321646;82;135;2.6;90.2;4.1;0.0;1.7;82.4;41.3;39.0;37.4;30.3;A2;B1;;;
20230202;KDPS73;wisetrack;TANDEM;626;0.0;77648;439225;49;472;3.3;94.5;0.6;0.1;0.9;71.7;0.0;0.0;0.0;0.0;;;;;
20230203;KDPS73;wisetrack;TANDEM;709;3.2;86570;410695;49;305;1.9;96.0;0.5;0.2;0.7;69.5;0.0;0.0;0.0;0.0;;;;;
20230204;KDPS73;wisetrack;TANDEM;455;5.1;78168;354961;50;765;4.3;91.4;0.6;0.6;1.3;83.3;0.6;0.0;0.0;0.0;;;C;;
20230205;KDPS73;wisetrack;TANDEM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;KDPS73;wisetrack;TANDEM;983;1.5;189939;765913;51;842;2.4;94.8;1.5;0.5;0.4;78.4;3.7;3.4;2.4;0.9;;;;;
20230207;KDPS73;wisetrack;TANDEM;916;0.0;86129;764450;50;336;2.9;93.8;1.5;0.3;0.6;79.5;2.9;2.0;1.3;0.7;;;;;
20230208;KDPS73;wisetrack;TANDEM;595;0.0;66345;422743;50;156;2.3;95.4;0.8;0.3;0.6;74.8;1.1;0.6;0.0;0.0;;;;;
20230209;KDPS73;wisetrack;TANDEM;67;0.0;56057;359;47;911;2.9;88.0;1.4;0.0;1.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;KFBK56;wisetrack;TANDEM;794;11.5;35814;473871;42;52;53.6;42.6;0.7;0.1;1.0;67.8;30.5;30.5;30.5;29.1;;B1;C;;
20230202;KFBK56;wisetrack;TANDEM;1463;9.5;87242;523876;29;105;64.7;33.8;0.2;0.2;0.4;23.8;0.0;0.0;0.0;0.0;;;C;;
20230203;KFBK56;wisetrack;TANDEM;1301;0.0;80905;419557;30;88;60.3;36.7;0.6;0.1;0.4;54.4;0.0;0.0;0.0;0.0;;;;;
20230204;KFBK56;wisetrack;TANDEM;923;0.0;91897;341267;29;289;53.3;40.1;2.1;0.5;1.4;59.6;0.0;0.0;0.0;0.0;;;;;
20230205;KFBK56;wisetrack;TANDEM;1080;0.8;84678;528480;30;338;60.8;35.4;0.3;0.1;0.4;43.5;0.0;0.0;0.0;0.0;;;;;
20230206;KFBK56;wisetrack;TANDEM;377;0.0;86934;123495;30;1374;50.9;43.7;1.0;0.0;1.5;4.4;0.0;0.0;0.0;0.0;;;;;
20230207;KFBK56;wisetrack;TANDEM;101;0.0;82557;30375;41;3597;44.5;36.6;6.9;0.9;0.0;47.3;0.0;0.0;0.0;0.0;;;;;
20230208;KFBK56;wisetrack;TANDEM;990;14.8;89041;393748;29;288;70.0;27.2;0.9;0.2;0.4;26.0;0.0;0.0;0.0;0.0;;;C;;
20230209;KFBK56;wisetrack;TANDEM;218;0.0;38112;135017;30;1882;59.1;38.5;0.0;0.0;0.4;26.6;0.0;0.0;0.0;0.0;;;;;
20230201;KFBK57;wisetrack;TANDEM;260;0.0;39975;14804;49;172;17.6;72.3;4.2;0.7;3.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;KFBK57;wisetrack;TANDEM;560;0.0;82308;12817;49;158;11.7;84.2;1.2;0.8;1.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;KFBK57;wisetrack;TANDEM;582;0.0;90152;79610;49;215;15.1;75.7;4.4;1.7;1.2;14.6;0.0;0.0;0.0;0.0;;;;;
20230204;KFBK57;wisetrack;TANDEM;264;0.0;81536;13331;48;420;15.1;75.0;4.9;2.2;1.8;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;KFBK57;wisetrack;TANDEM;409;0.0;91036;27146;49;301;16.6;66.2;10.7;1.9;1.9;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;KFBK57;wisetrack;TANDEM;366;0.0;86922;68029;50;328;17.4;74.5;3.5;0.8;2.4;28.9;0.0;0.0;0.0;0.0;;;;;
20230207;KFBK57;wisetrack;TANDEM;426;0.0;78227;27297;49;217;12.6;82.3;2.8;0.7;0.9;4.5;0.0;0.0;0.0;0.0;;;;;
20230208;KFBK57;wisetrack;TANDEM;410;0.0;94602;73952;49;444;18.0;74.1;3.4;1.2;2.4;4.2;0.0;0.0;0.0;0.0;;;;;
20230209;KFBK57;wisetrack;TANDEM;37;0;2249;0;0;60;10.8;67.5;21.6;0.0;0.0;0;0;0;0;0;;;;;
20230201;HPKH89;gpschile;RATKO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
