Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;LZLT11;etrans;None;201;0.0;83877;29;0;735;35.8;8.9;0.0;0.4;12.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;LZLT11;etrans;None;816;0.0;87102;184345;21;492;57.8;14.9;0.3;0.1;2.8;45.8;1.1;0.0;0.0;0.0;;;;;
20230203;LZLT11;etrans;None;2849;0.0;86121;468514;16;124;69.3;9.9;0.5;0.6;0.4;18.7;0.0;0.0;0.0;0.0;;;;;
20230204;LZLT11;etrans;None;3139;0.0;85810;551138;17;107;65.5;12.3;0.2;0.1;0.4;23.4;0.0;0.0;0.0;0.0;;;;;
20230205;LZLT11;etrans;None;3209;0.0;87276;594459;18;118;61.8;13.7;0.4;0.2;0.4;29.7;1.1;0.4;0.0;0.0;;;;;
20230206;LZLT11;etrans;None;3143;0.0;85850;569205;17;110;62.9;13.3;0.3;0.1;0.4;28.8;0.0;0.0;0.0;0.0;;;;;
20230207;LZLT11;etrans;None;2970;0.0;86474;571754;16;141;69.6;11.7;0.3;0.3;0.5;22.5;0.0;0.0;0.0;0.0;;;;;
20230208;LZLT11;etrans;None;2725;0.0;86878;431324;16;124;66.7;11.1;0.5;0.2;0.6;24.7;1.1;0.6;0.0;0.0;;;;;
20230209;LZLT11;etrans;None;952;0.0;26343;213887;19;264;68.2;7.4;0.2;0.2;0.4;14.0;0.0;0.0;0.0;0.0;;;;;
20230201;LZLZ95;etrans;None;2366;0.0;80488;474189;20;89;63.9;16.7;0.2;0.1;0.5;20.9;0.5;0.5;0.0;0.0;;;;;
20230202;LZLZ95;etrans;None;504;0.0;86658;68588;16;459;70.2;16.6;0.3;0.1;4.3;1.6;0.0;0.0;0.0;0.0;;;;;
20230203;LZLZ95;etrans;None;844;0.0;87171;4274;11;127;34.3;51.4;0.5;0.1;2.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;LZLZ95;etrans;None;757;0.0;87030;76052;23;230;49.0;26.2;0.2;0.3;3.1;67.5;0.0;0.0;0.0;0.0;;;;;
20230205;LZLZ95;etrans;None;1788;0.0;87420;350106;19;128;56.8;23.9;0.4;0.3;0.8;33.7;0.8;0.8;0.0;0.0;;;;;
20230206;LZLZ95;etrans;None;2141;0.0;84726;316435;19;81;60.5;20.7;0.3;0.0;0.8;14.8;0.0;0.0;0.0;0.0;;;;;
20230207;LZLZ95;etrans;None;2765;0.0;86592;627691;19;88;67.6;16.8;0.0;0.0;0.5;22.4;0.0;0.0;0.0;0.0;;;;;
20230208;LZLZ95;etrans;None;2287;0.0;87267;424820;16;94;78.7;13.6;0.1;0.1;0.6;18.8;0.0;0.0;0.0;0.0;;;;;
20230209;LZLZ95;etrans;None;417;0.0;28750;37637;21;108;62.5;21.1;0.4;0.7;1.9;68.5;0.0;0.0;0.0;0.0;;;;;
20230201;LZPD84;etrans;None;2368;0.0;85280;359270;17;85;67.8;15.6;0.6;0.1;0.8;52.4;0.7;0.7;0.0;0.0;;;;;
20230202;LZPD84;etrans;None;2832;0.0;85744;444024;16;101;67.7;14.0;0.6;0.2;0.6;38.0;0.6;0.6;0.0;0.0;;;;;
