Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;LYGT37;mitta;Operaciones;2866;0.0;84568;62976;79;1585;0.2;0.3;1.4;0.1;1.0;90.4;54.9;38.2;4.9;0.0;A2;B1;;;
20230202;LYGT37;mitta;Operaciones;2864;0.0;86233;81437;78;1367;0.2;1.0;2.0;0.0;1.5;77.9;44.3;26.9;14.3;0.0;A2;B1;;;
20230203;LYGT37;mitta;Operaciones;2837;0.0;87029;112383;83;1236;0.5;0.8;2.2;0.0;1.5;88.4;65.9;37.8;12.0;4.9;A2;B1;;;
20230204;LYGT37;mitta;Operaciones;2919;0.0;85967;14899;76;1699;0.0;0.1;0.4;0.0;1.6;87.8;31.5;17.3;0.0;0.0;A2;B2;;;
20230205;LYGT37;mitta;Operaciones;2874;0;86392;0;0;1799;0.0;0.0;0.0;0.0;1.6;0;0;0;0;0;;;;;
20230206;LYGT37;mitta;Operaciones;2848;0.0;86496;51682;75;1391;0.3;0.4;1.4;0.0;1.6;78.5;29.9;9.2;9.2;0.0;A2;;;;
20230207;LYGT37;mitta;Operaciones;2896;0.0;83715;50945;67;1587;0.3;0.8;1.0;0.0;1.4;77.1;40.2;22.0;12.0;0.0;A2;B2;;;
20230208;LYGT37;mitta;Operaciones;2871;0.0;88371;72850;75;1455;0.7;1.1;2.0;0.0;1.4;59.8;18.0;12.0;4.2;0.0;A2;B2;;;
20230209;LYGT37;mitta;Operaciones;1114;0;34203;0;0;1800;0.0;0.0;0.0;0.0;1.7;0;0;0;0;0;;;;;
20230201;RVSS34;mitta;Operaciones;2834;0;83501;0;0;1575;0.0;0.0;0.2;0.0;1.5;0;0;0;0;0;;;;;
20230202;RVSS34;mitta;Operaciones;2881;0;86883;0;0;1497;0.0;0.0;0.2;0.1;1.6;0;0;0;0;0;;;;;
20230203;RVSS34;mitta;Operaciones;2890;0;86874;0;0;1848;0.0;0.0;0.0;0.0;1.5;0;0;0;0;0;;;;;
20230204;RVSS34;mitta;Operaciones;2876;0;86345;0;0;1798;0.0;0.0;0.0;0.0;1.6;0;0;0;0;0;;;;;
20230205;RVSS34;mitta;Operaciones;4132;0;70223;0;0;1800;0.0;0.0;0.0;0.0;0.9;0;0;0;0;0;;;;;
20230206;RVSS34;mitta;Operaciones;1594;0;101889;0;0;3396;0.0;0.0;0.1;0.0;1.5;0;0;0;0;0;;;;;
20230207;RVSS34;mitta;Operaciones;2927;0;86673;0;0;1494;0.0;0.0;0.2;0.1;1.6;0;0;0;0;0;;;;;
20230208;RVSS34;mitta;Operaciones;2865;0;85970;0;0;1343;0.0;0.0;0.5;0.0;1.5;0;0;0;0;0;;;;;
20230209;RVSS34;mitta;Operaciones;1074;0;33798;0;0;1988;0.0;0.0;0.0;0.0;1.4;0;0;0;0;0;;;;;
20230201;SCDG59;mitta;Operaciones;2908;0.0;86025;99397;77;1410;0.3;0.6;1.6;0.1;1.5;85.6;51.3;33.4;3.9;0.0;A2;B1;;;
20230202;SCDG59;mitta;Operaciones;2875;0;86398;0;0;1799;0.0;0.0;0.0;0.0;1.6;0;0;0;0;0;;;;;
20230203;SCDG59;mitta;Operaciones;2884;0;86648;0;0;1843;0.0;0.0;0.0;0.0;1.6;0;0;0;0;0;;;;;
20230204;SCDG59;mitta;Operaciones;2863;0.0;86028;66208;72;1575;0.5;0.4;1.1;0.1;1.6;84.0;54.1;47.4;6.5;0.0;A2;B1;;;
20230205;SCDG59;mitta;Operaciones;2830;0.0;86790;82;0;1701;0.0;0.0;0.1;0.0;1.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;SCDG59;mitta;Operaciones;2931;0.0;86216;97769;75;1681;0.5;0.6;1.4;0.0;1.5;87.0;60.1;39.0;11.1;0.0;A2;B1;;;
20230207;SCDG59;mitta;Operaciones;2823;0.0;84634;115392;88;1500;0.3;0.9;2.3;0.0;1.4;83.9;50.7;30.0;11.9;9.3;A2;B1;;;
20230208;SCDG59;mitta;Operaciones;2918;0.0;87741;37260;91;1740;0.2;0.5;0.9;0.0;1.5;70.1;38.7;32.2;17.7;0.0;A1;B1;;;
20230209;SCDG59;mitta;Operaciones;1100;0;34193;0;0;1799;0.0;0.0;0.0;0.0;1.7;0;0;0;0;0;;;;;
