Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;FZWC44;movilmaster;Nueva Bernal Fernandez;2676;1.3;86088;1125039;20;918;87.1;7.9;3.8;0.1;0.2;30.8;26.1;14.6;8.5;6.0;;B2;;;
20230202;FZWC44;movilmaster;Nueva Bernal Fernandez;295;0.0;68020;59189;22;2121;72.2;21.3;2.3;2.3;1.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;FZWC44;movilmaster;Nueva Bernal Fernandez;49;0.0;326181;5637;28;25007;44.8;30.6;12.2;0.0;10.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;FZWC44;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;GWXC93;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;GXCF90;movilmaster;Nueva Bernal Fernandez;1002;0.0;32146;291579;17;299;91.2;5.4;2.0;0.5;0.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;GXCF90;movilmaster;Nueva Bernal Fernandez;1032;0.0;89992;297018;17;1312;89.5;6.0;3.0;0.6;0.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;GXCF90;movilmaster;Nueva Bernal Fernandez;1063;0.0;83284;304424;17;1164;90.0;6.7;1.8;0.6;0.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;GXCF90;movilmaster;Nueva Bernal Fernandez;119;0.0;74962;22257;26;2423;54.6;24.3;11.7;3.3;3.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;GXCF90;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;GXCF90;movilmaster;Nueva Bernal Fernandez;1683;0.0;196122;487380;18;2615;89.7;7.3;1.4;0.7;0.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;GXCF90;movilmaster;Nueva Bernal Fernandez;1169;0.0;79470;338498;18;1092;90.5;5.9;2.4;0.2;0.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;GXCF90;movilmaster;Nueva Bernal Fernandez;937;0.0;88331;268780;18;1752;89.1;7.5;2.0;0.3;0.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;GXCF90;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;GXXW29;movilmaster;Nueva Bernal Fernandez;4;0.0;708;41;0;236;25.0;25.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;GXXW29;movilmaster;Nueva Bernal Fernandez;2;0.0;90828;5;0;45414;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;GXXW29;movilmaster;Nueva Bernal Fernandez;468;0.0;166474;17620;4;16429;98.7;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;GXXW29;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;GXXW30;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;GZYC53;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;HCLJ57;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;HJRG17;movilmaster;Nueva Bernal Fernandez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
