Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;CCZW44;samtech;DISPONIBLES;880;4.2;86200;375666;50;457;12.3;47.9;2.1;0.6;1.5;80.5;6.7;6.0;3.0;0.0;;;;;
20230202;CCZW44;samtech;DISPONIBLES;972;13.2;85965;359838;50;294;12.9;53.6;1.5;0.3;1.1;73.1;5.5;4.3;2.7;0.0;;;C;;
20230203;CCZW44;samtech;DISPONIBLES;362;4.1;85534;138368;52;1016;9.9;46.9;3.8;0.0;4.4;84.8;5.7;4.1;2.3;0.0;;;;;
20230204;CCZW44;samtech;DISPONIBLES;571;1.8;78612;242361;49;770;14.8;53.2;1.2;0.1;1.4;71.9;2.8;2.8;1.7;0.0;;;;;
20230205;CCZW44;samtech;DISPONIBLES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;CCZW44;samtech;DISPONIBLES;844;1.8;181270;346408;48;1548;14.0;48.6;2.1;0.3;1.4;72.0;6.5;4.6;2.2;0.0;;;;;
20230207;CCZW44;samtech;DISPONIBLES;1469;4.7;86130;597095;48;109;14.9;47.1;1.2;0.2;0.3;73.2;10.3;8.0;7.6;4.3;;;;;
20230208;CCZW44;samtech;DISPONIBLES;1658;2.4;86195;617143;47;183;14.8;46.6;1.5;0.1;0.7;77.8;4.5;3.4;2.6;0.0;;;;;
20230209;CCZW44;samtech;DISPONIBLES;151;3.8;30716;58740;46;986;16.5;50.3;1.3;0.6;5.9;63.9;0.0;0.0;0.0;0.0;;;;;
20230201;CFWD61;samtech;ENAMI-YAMANA;496;2.4;84498;177441;66;634;13.9;7.6;34.4;0.2;5.0;86.5;39.7;0.0;0.0;0.0;A2;;;;
20230202;CFWD61;samtech;ENAMI-YAMANA;495;0.0;86406;279036;74;652;14.3;6.2;49.0;0.4;3.8;89.8;45.9;1.0;1.0;0.0;A2;;;;
20230203;CFWD61;samtech;ENAMI-YAMANA;351;0.0;86406;76739;73;709;10.5;6.2;37.0;1.1;5.9;76.9;34.1;0.0;0.0;0.0;A2;;;;
20230204;CFWD61;samtech;ENAMI-YAMANA;323;0.0;86406;130657;83;879;12.0;10.2;43.3;0.3;6.8;82.4;34.2;0.0;0.0;0.0;A2;;;;
