Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BWJG69;wisetrack;ENEX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BZKL75;wisetrack;DIAZ;1709;0.0;85069;188112;19;71;42.7;54.0;2.2;0.0;0.1;4.5;1.3;1.3;0.0;0.0;;;;;
20230202;BZKL75;wisetrack;DIAZ;2263;0.2;86397;234081;20;55;45.7;51.3;1.1;0.0;0.0;3.0;0.0;0.0;0.0;0.0;;;;;
20230203;BZKL75;wisetrack;DIAZ;2454;0.0;86345;341397;19;54;52.2;46.9;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;;;;;
20230204;BZKL75;wisetrack;DIAZ;1567;0.0;86404;5751;11;60;8.9;89.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;BZKL75;wisetrack;DIAZ;1578;0.0;86405;3622;0;55;13.1;85.8;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;BZKL75;wisetrack;DIAZ;1799;0.0;78046;97471;20;56;34.0;62.6;1.4;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;
20230207;BZKL75;wisetrack;DIAZ;1737;0.0;94800;256896;21;123;57.2;40.0;0.8;0.0;0.0;1.2;0.0;0.0;0.0;0.0;;;;;
20230208;BZKL75;wisetrack;DIAZ;2225;0.0;82565;340254;22;55;47.9;51.0;0.1;0.0;0.0;3.2;0.0;0.0;0.0;0.0;;;;;
20230209;BZKL75;wisetrack;DIAZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BZKL78;wisetrack;DIAZ;1284;0.0;84899;13510;22;71;16.7;79.9;2.6;0.0;0.1;17.8;17.8;0.0;0.0;0.0;;;;;
20230202;BZKL78;wisetrack;DIAZ;1531;0.0;86402;4507;0;57;11.8;86.4;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;BZKL78;wisetrack;DIAZ;1508;0.0;86389;2463;5;58;11.0;87.8;0.1;0.4;0.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;BZKL78;wisetrack;DIAZ;1568;0.0;86402;2134;0;55;10.2;89.2;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;BZKL78;wisetrack;DIAZ;1575;0.0;86400;1245;0;55;10.7;88.8;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;BZKL78;wisetrack;DIAZ;1622;0.0;86403;15614;18;57;14.1;84.8;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;BZKL78;wisetrack;DIAZ;1700;0.0;86400;15442;15;56;19.0;79.7;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
