Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;LKLV58;gpscontrol;FASA;778;1.3;85688;111952;13;258;83.8;1.5;2.5;1.0;10.1;1.0;0.0;0.0;0.0;0.0;;;;;
20230202;LKLV58;gpscontrol;FASA;1290;0.5;87076;159420;14;121;81.2;5.2;7.2;1.0;4.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;LKLV58;gpscontrol;FASA;2740;0.1;85872;692870;15;81;90.5;3.1;2.9;0.8;1.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;LKLV58;gpscontrol;FASA;1024;0.8;86458;108432;11;279;87.6;1.6;1.5;0.8;7.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;LKLV58;gpscontrol;FASA;983;0.5;86445;93236;13;193;79.5;4.1;5.6;1.7;7.3;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;LKLV58;gpscontrol;FASA;1253;0.9;86364;110308;11;214;88.9;2.0;1.9;0.7;5.8;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;LKLV58;gpscontrol;FASA;1656;2.9;86804;150965;14;83;83.9;4.1;5.5;0.7;3.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;LKLV58;gpscontrol;FASA;2589;0.9;86349;633414;15;134;92.0;1.3;1.0;0.5;1.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;LKLV58;gpscontrol;FASA;72;0.0;30903;845;10;504;45.8;5.5;1.3;1.3;45.8;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;LPPY19;gpscontrol;FASA;97;0;85644;0;0;901;0.0;0.0;0.0;0.0;97.9;0;0;0;0;0;;;;;
20230202;LPPY19;gpscontrol;FASA;95;0;85650;0;0;901;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230203;LPPY19;gpscontrol;FASA;99;0;86552;0;0;901;0.0;0.0;0.0;0.0;96.9;0;0;0;0;0;;;;;
20230204;LPPY19;gpscontrol;FASA;96;0;86553;0;0;901;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230205;LPPY19;gpscontrol;FASA;96;0;86552;0;0;901;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230206;LPPY19;gpscontrol;FASA;287;0.0;86089;122000;30;730;65.8;0.0;1.0;0.6;30.6;1.6;0.0;0.0;0.0;0.0;;;;;
20230207;LPPY19;gpscontrol;FASA;96;0;86552;0;0;901;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230208;LPPY19;gpscontrol;FASA;1156;0.0;86347;238726;30;101;93.7;0.0;0.1;0.1;5.1;4.2;0.0;0.0;0.0;0.0;;;;;
20230209;LPPY19;gpscontrol;FASA;36;0;31570;0;0;876;2.7;0.0;0.0;0.0;97.2;0;0;0;0;0;;;;;
20230201;LRTC82;gpscontrol;FASA;105;0.0;13385;10374;31;286;77.1;6.6;1.9;3.8;7.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;LRTC82;gpscontrol;FASA;79;0.0;86345;136;0;1120;8.8;0.0;0.0;1.2;89.8;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;LRTC82;gpscontrol;FASA;74;0;86453;0;0;1200;0.0;0.0;0.0;0.0;97.2;0;0;0;0;0;;;;;
20230204;LRTC82;gpscontrol;FASA;71;0.0;86401;19;0;1234;0.0;0.0;0.0;0.0;98.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;LRTC82;gpscontrol;FASA;72;0.0;86399;5;0;1199;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;LRTC82;gpscontrol;FASA;17;0;19835;0;0;1166;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230207;LRTC82;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;LRTC82;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;LRTC82;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;LRTC86;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;LRTC86;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;LRTC86;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;LRTC86;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;LRTC86;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;LRTC86;gpscontrol;FASA;306;0.0;20994;6220;30;78;91.8;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;LRTC86;gpscontrol;FASA;124;0.0;86962;648;30;747;21.7;0.0;0.0;0.8;76.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;LRTC86;gpscontrol;FASA;151;0.0;86301;227;0;586;34.4;0.0;3.3;0.0;62.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230209;LRTC86;gpscontrol;FASA;35;0;31556;0;0;901;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230201;LTKF32;gpscontrol;FASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
