Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;GKPT11;tracktec;Jumbo Norte;700;0.4;86374;13374;21;157;51.0;26.7;1.1;0.4;12.1;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;GKPT11;tracktec;Jumbo Norte;395;0.0;86144;227;19;235;42.0;28.8;0.2;0.7;23.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;GKPT11;tracktec;Jumbo Norte;576;2.4;86629;85002;21;255;59.2;20.6;0.1;0.5;15.4;57.8;0.0;0.0;0.0;0.0;;;;;
20230204;GKPT11;tracktec;Jumbo Norte;1938;3.5;85979;827274;26;129;57.1;32.5;0.3;0.3;2.3;45.2;0.0;0.0;0.0;0.0;;;;;
20230205;GKPT11;tracktec;Jumbo Norte;1249;0.7;86335;449825;22;243;78.1;12.3;0.3;0.3;5.2;19.7;0.0;0.0;0.0;0.0;;;;;
20230206;GKPT11;tracktec;Jumbo Norte;1180;5.7;86231;294792;24;158;60.1;23.8;0.5;0.2;6.0;31.0;0.0;0.0;0.0;0.0;;;C;;
20230207;GKPT11;tracktec;Jumbo Norte;1870;8.2;86029;966006;27;260;56.1;31.6;0.3;0.1;2.6;60.5;0.0;0.0;0.0;0.0;;;C;;
20230208;GKPT11;tracktec;Jumbo Norte;1879;4.8;85976;586382;24;111;60.8;27.9;0.3;0.2;2.8;57.2;0.0;0.0;0.0;0.0;;;;;
20230209;GKPT11;tracktec;Jumbo Norte;64;0.0;28481;561;15;565;29.6;10.9;1.5;0.0;51.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;GKPT16;tracktec;Jumbo Norte;1268;0.0;86305;75;0;68;0.0;97.1;1.5;0.9;0.2;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;GKPT16;tracktec;Jumbo Norte;1348;0.0;86481;110;0;64;0.0;97.1;2.2;0.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;GKPT16;tracktec;Jumbo Norte;1351;0.0;86361;1887;9;65;4.3;91.4;3.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;GKPT16;tracktec;Jumbo Norte;1483;0.0;86409;3530;29;59;3.3;96.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;GKPT16;tracktec;Jumbo Norte;1476;0.0;86416;3574;25;59;3.1;96.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230206;GKPT16;tracktec;Jumbo Norte;1608;0.0;86412;243660;41;59;20.2;73.8;5.3;0.1;0.0;78.1;57.9;49.5;39.3;5.7;;B1;;;
20230207;GKPT16;tracktec;Jumbo Norte;1488;0.0;86406;650122;58;60;22.8;65.0;11.8;0.1;0.0;86.0;69.7;62.9;54.5;7.6;;B1;;;
20230208;GKPT16;tracktec;Jumbo Norte;1500;0.0;86384;527567;51;63;24.0;65.2;10.2;0.2;0.0;79.2;61.7;55.4;51.1;12.4;;B1;;;
20230209;GKPT16;tracktec;Jumbo Norte;492;0.0;29249;52;0;59;1.0;98.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;GKPT17;tracktec;Agrosuper;1290;0.0;86335;308938;22;159;60.6;28.6;0.3;0.6;4.8;44.7;0.0;0.0;0.0;0.0;;;;;
20230202;GKPT17;tracktec;Agrosuper;1512;0.0;85729;402518;23;133;63.8;27.5;0.4;0.1;3.9;32.3;0.0;0.0;0.0;0.0;;;;;
20230203;GKPT17;tracktec;Agrosuper;1804;0.2;87071;636693;25;125;57.2;38.6;0.1;0.0;2.4;37.6;0.0;0.0;0.0;0.0;;;;;
20230204;GKPT17;tracktec;Agrosuper;1722;0.3;86016;600082;24;159;69.2;23.9;0.5;0.1;3.1;28.6;0.0;0.0;0.0;0.0;;;;;
20230205;GKPT17;tracktec;Agrosuper;103;0;86537;0;0;840;0.0;0.0;0.0;0.0;100.0;0;0;0;0;0;;;;;
20230206;GKPT17;tracktec;Agrosuper;1672;1.2;85889;520824;22;172;67.2;26.5;0.2;0.0;3.4;33.8;0.0;0.0;0.0;0.0;;;;;
20230207;GKPT17;tracktec;Agrosuper;1328;0.1;86433;329787;21;173;65.8;24.9;0.3;0.3;4.8;33.5;0.0;0.0;0.0;0.0;;;;;
20230208;GKPT17;tracktec;Agrosuper;1714;0.3;86559;551489;24;110;58.3;37.1;0.2;0.2;2.5;37.0;0.0;0.0;0.0;0.0;;;;;
20230209;GKPT17;tracktec;Agrosuper;446;0.3;29010;224101;24;561;60.3;33.1;0.2;0.2;4.9;70.8;0.0;0.0;0.0;0.0;;;;;
