Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;CLTH86;samtech;Petersen;1065;0.0;83712;42182;0;110;0.3;66.5;0.0;0.1;1.2;100.0;100.0;100.0;100.0;100.0;;B1;;;
20230202;CLTH86;samtech;Petersen;789;4502.5;85443;2694;34;173;2.7;57.4;0.5;0.6;2.4;0.0;0.0;0.0;0.0;0.0;;;C;;
20230203;CLTH86;samtech;Petersen;239;6841269.5;86166;2;0;495;5.0;53.5;1.6;0.8;11.7;0.0;0.0;0.0;0.0;0.0;;;C;;
20230204;CLTH86;samtech;Petersen;744;0;87300;0;0;146;2.4;73.9;0.6;0.1;3.0;0;0;0;0;0;;;;;
20230205;CLTH86;samtech;Petersen;1238;417.5;85267;83964;44;106;4.2;65.4;1.2;0.0;0.8;41.2;0.0;0.0;0.0;0.0;;;C;;
20230206;CLTH86;samtech;Petersen;401;0;86400;0;0;337;4.7;50.6;0.7;0.7;6.9;0;0;0;0;0;;;;;
20230207;CLTH86;samtech;Petersen;173;0;86400;0;0;807;3.4;42.7;0.5;1.1;13.8;0;0;0;0;0;;;;;
20230208;CLTH86;samtech;Petersen;14;0;43203;0;0;3600;0.0;0.0;0.0;0.0;85.7;0;0;0;0;0;;;;;
20230209;CLTH86;samtech;Petersen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;FYVH24;samtech;Petersen;895;0.0;83665;362074;44;577;9.4;51.2;1.0;0.0;2.4;40.3;0.0;0.0;0.0;0.0;;;;;
20230202;FYVH24;samtech;Petersen;215;0.0;85545;44078;42;845;6.0;55.8;1.3;0.9;11.1;41.7;0.0;0.0;0.0;0.0;;;;;
20230203;FYVH24;samtech;Petersen;46;0.0;85285;128;0;2665;2.1;34.7;0.0;0.0;30.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;FYVH24;samtech;Petersen;85;0.0;86405;101;0;1393;4.7;28.2;5.8;2.3;31.7;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;FYVH24;samtech;Petersen;5;0;10800;0;0;3600;0.0;0.0;0.0;0.0;60.0;0;0;0;0;0;;;;;
20230206;FYVH24;samtech;Petersen;374;0.0;163843;146705;41;3467;11.7;45.9;1.0;1.0;2.6;47.8;0.0;0.0;0.0;0.0;;;;;
20230207;FYVH24;samtech;Petersen;14;0.0;33493;1;0;3349;0.0;0.0;0.0;0.0;71.4;0.0;0.0;0.0;0.0;0.0;;;;;
20230208;FYVH24;samtech;Petersen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;FYVH24;samtech;Petersen;12;0.0;206857;21;0;25857;0.0;50.0;8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;GSJJ37;samtech;Transgoar;591;3.8;83189;291074;59;478;4.2;62.0;1.5;0.1;3.5;56.3;6.5;6.5;4.7;1.9;;;;;
20230202;GSJJ37;samtech;Transgoar;640;94.5;85606;180690;46;284;8.5;65.1;2.5;0.0;2.9;45.4;4.1;1.6;0.0;0.0;;;C;;
20230203;GSJJ37;samtech;Transgoar;914;80.5;88134;220513;48;237;9.2;51.2;4.8;0.4;2.0;53.3;20.4;13.4;10.8;3.0;;B2;C;;
20230204;GSJJ37;samtech;Transgoar;741;17.2;85739;248688;54;242;6.0;60.5;2.2;0.4;2.8;59.1;18.2;18.2;18.2;18.2;;B2;C;;
20230205;GSJJ37;samtech;Transgoar;902;60.5;83548;324595;42;325;7.7;55.0;2.1;0.3;1.9;47.8;1.7;1.7;1.7;1.7;;;C;;
20230206;GSJJ37;samtech;Transgoar;1213;105.7;88629;254343;41;206;9.7;47.7;1.8;0.4;1.5;42.4;1.7;0.0;0.0;0.0;;;C;;
20230207;GSJJ37;samtech;Transgoar;1350;302.4;85725;109750;43;110;2.8;57.1;1.2;0.2;1.0;59.3;17.6;13.5;13.5;0.0;;B2;C;;
20230208;GSJJ37;samtech;Transgoar;516;56.9;65169;166613;43;220;3.6;67.0;2.3;0.3;3.4;63.0;12.3;11.0;9.5;7.3;;B2;C;;
20230209;GSJJ37;samtech;Transgoar;891;117.2;106703;221271;51;232;7.8;60.2;3.0;0.2;0.8;58.1;23.3;19.4;18.2;15.2;;B2;C;;
20230201;HJYB48;samtech;Petersen;1668;0.0;86371;551529;53;116;8.5;54.5;0.2;0.0;0.5;81.6;0.0;0.0;0.0;0.0;;;;;
20230202;HJYB48;samtech;Petersen;1614;0.0;86384;599311;52;102;9.6;61.0;0.0;0.0;0.5;81.7;0.0;0.0;0.0;0.0;;;;;
20230203;HJYB48;samtech;Petersen;2383;0.0;86401;438671;54;56;5.6;59.3;0.2;0.0;0.0;82.9;0.0;0.0;0.0;0.0;;;;;
20230204;HJYB48;samtech;Petersen;1414;0.0;86370;591874;54;125;11.8;59.7;0.1;0.0;0.8;90.5;0.0;0.0;0.0;0.0;;;;;
20230205;HJYB48;samtech;Petersen;2148;0.0;85854;601611;56;56;4.7;65.4;0.3;0.0;0.0;92.2;0.0;0.0;0.0;0.0;;;;;
20230206;HJYB48;samtech;Petersen;2215;0.0;86954;483834;54;65;5.1;58.6;0.3;0.0;0.1;89.5;0.0;0.0;0.0;0.0;;;;;
