Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;BKTK81;samtech;Comertrans;2190;0.0;86330;484053;62;55;24.2;35.2;8.2;0.8;0.0;66.2;46.4;39.6;33.3;26.5;;B1;;;
20230202;BKTK81;samtech;Comertrans;2444;0.0;86349;524407;58;48;24.1;35.8;7.7;0.2;0.0;64.4;37.3;32.2;26.0;16.9;;B1;;;
20230203;BKTK81;samtech;Comertrans;1172;0.0;86480;22480;41;115;24.4;32.1;10.9;0.0;0.0;21.9;9.8;0.0;0.0;0.0;;;;;
20230204;BKTK81;samtech;Comertrans;1379;0.0;86299;842781;70;105;16.5;26.8;26.9;2.1;0.4;82.5;50.3;42.7;33.8;17.5;A2;B1;;;
20230205;BKTK81;samtech;Comertrans;460;0.0;17320;30619;63;55;18.4;32.3;15.2;0.2;0.0;66.6;23.8;9.0;0.0;0.0;;;;;
20230206;BKTK81;samtech;Comertrans;1193;0.0;155566;194459;70;231;23.3;31.1;11.4;0.5;0.0;79.1;51.4;43.4;37.4;27.9;A2;B1;;;
20230207;BKTK81;samtech;Comertrans;2101;0.0;86393;364002;64;60;21.9;31.2;12.9;0.5;0.0;78.9;40.2;30.8;21.0;13.2;;B1;;;
20230208;BKTK81;samtech;Comertrans;2020;0.0;86381;125499;43;70;22.8;33.0;9.2;0.0;0.0;43.1;6.8;6.8;6.8;4.2;;;;;
20230209;BKTK81;samtech;Comertrans;815;0.0;39896;225104;72;63;21.9;40.7;10.9;0.8;0.0;80.5;49.4;41.7;37.9;26.4;A2;B1;;;
20230201;BSWC36;samtech;Agretoc;35;0;82800;0;0;3600;0.0;0.0;0.0;0.0;65.7;0;0;0;0;0;;;;;
20230202;BSWC36;samtech;Agretoc;30;0;86411;0;0;3600;0.0;0.0;0.0;0.0;80.0;0;0;0;0;0;;;;;
20230203;BSWC36;samtech;Agretoc;35;0;86400;0;0;3600;0.0;0.0;0.0;0.0;68.5;0;0;0;0;0;;;;;
20230204;BSWC36;samtech;Agretoc;30;0.0;87033;145;0;3626;0.0;0.0;0.0;0.0;76.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;BSWC36;samtech;Agretoc;34;0;86400;0;0;3600;0.0;0.0;0.0;0.0;70.5;0;0;0;0;0;;;;;
20230206;BSWC36;samtech;Agretoc;33;0;86400;0;0;3600;0.0;0.0;0.0;0.0;72.7;0;0;0;0;0;;;;;
20230207;BSWC36;samtech;Agretoc;38;0;86400;0;0;3600;0.0;0.0;0.0;0.0;63.1;0;0;0;0;0;;;;;
20230208;BSWC36;samtech;Agretoc;35;0;86400;0;0;3600;0.0;0.0;0.0;0.0;68.5;0;0;0;0;0;;;;;
20230209;BSWC36;samtech;Agretoc;13;0;39600;0;0;3600;0.0;0.0;0.0;0.0;84.6;0;0;0;0;0;;;;;
20230201;BVVX72;samtech;JPC;798;0.0;85338;367618;51;893;12.7;50.3;0.7;0.5;1.2;78.0;0.0;0.0;0.0;0.0;;;;;
20230202;BVVX72;samtech;JPC;727;0.0;83794;325907;50;633;15.6;46.6;1.2;0.2;2.7;81.5;0.0;0.0;0.0;0.0;;;;;
20230203;BVVX72;samtech;JPC;721;0.0;86947;292299;50;858;10.9;44.1;0.6;0.5;1.3;88.7;0.0;0.0;0.0;0.0;;;;;
20230204;BVVX72;samtech;JPC;760;0.0;89025;385314;51;605;15.9;58.5;0.6;0.7;1.3;78.3;0.0;0.0;0.0;0.0;;;;;
20230205;BVVX72;samtech;JPC;257;0.0;69685;41988;39;894;22.5;40.4;3.5;0.0;5.0;42.1;0.0;0.0;0.0;0.0;;;;;
20230206;BVVX72;samtech;JPC;715;0.0;101319;275262;52;749;10.4;46.2;0.9;0.5;0.9;82.1;0.0;0.0;0.0;0.0;;;;;
20230207;BVVX72;samtech;JPC;668;0.0;88491;196919;51;566;12.8;47.9;1.1;1.1;1.4;76.1;0.0;0.0;0.0;0.0;;;;;
20230208;BVVX72;samtech;JPC;689;0.0;86348;235601;49;736;12.7;44.9;1.0;0.1;3.7;72.9;0.0;0.0;0.0;0.0;;;;;
20230209;BVVX72;samtech;JPC;12;0.0;7936;32;0;793;8.3;25.0;0.0;8.3;41.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230201;BZGT71;samtech;Comertrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BZGT71;samtech;Comertrans;792;0.0;27980;226171;63;45;25.5;30.6;9.5;0.7;0.2;65.1;42.8;38.9;36.6;29.2;;B1;;;
20230203;BZGT71;samtech;Comertrans;1521;0.0;86713;601264;79;79;23.0;33.5;12.1;2.1;0.5;74.0;49.5;44.0;41.2;27.0;A2;B1;;;
20230204;BZGT71;samtech;Comertrans;1198;0.0;67363;86053;79;78;25.1;43.3;2.7;0.4;0.0;58.8;46.5;44.2;44.2;35.9;A2;B1;;;
20230205;BZGT71;samtech;Comertrans;16;0;86545;0;0;8654;31.2;25.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230206;BZGT71;samtech;Comertrans;1322;0.0;104891;234260;45;200;24.8;31.5;6.0;0.4;0.1;51.8;26.8;21.2;19.1;11.6;;B2;;;
20230207;BZGT71;samtech;Comertrans;2658;0.0;86939;333392;61;45;25.8;35.9;5.6;0.2;0.0;64.8;35.6;28.9;26.5;14.6;;B1;;;
20230208;BZGT71;samtech;Comertrans;2130;0.0;86402;129387;47;66;22.8;37.0;3.6;0.0;0.0;53.7;22.1;18.6;16.4;11.6;;B2;;;
20230209;BZGT71;samtech;Comertrans;173;0.0;39838;73835;160;367;10.4;24.2;30.0;8.0;2.8;87.6;81.8;81.8;77.9;61.6;A1;B1;;;
20230201;CBYD37;samtech;FG Logística;6862;0;86383;0;0;18;67.0;0.3;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230202;CBYD37;samtech;FG Logística;6790;0.0;86398;2927;17;18;67.2;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;CBYD37;samtech;FG Logística;6542;42.0;86316;43758;19;18;70.1;0.3;0.0;0.0;0.0;13.4;0.0;0.0;0.0;0.0;;;C;;
20230204;CBYD37;samtech;FG Logística;6364;0;86409;0;0;18;72.4;0.3;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230205;CBYD37;samtech;FG Logística;6671;0;86398;0;0;18;69.6;0.2;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230206;CBYD37;samtech;FG Logística;6617;0;86412;0;0;18;69.4;0.4;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230207;CBYD37;samtech;FG Logística;6724;7.6;86342;54260;21;18;68.1;0.3;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;;;C;;
20230208;CBYD37;samtech;FG Logística;6853;7.6;86323;68990;20;18;67.0;0.4;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;;;C;;
20230209;CBYD37;samtech;FG Logística;2902;0;39924;0;0;18;73.9;0.4;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230201;CDLL23;samtech;Comertrans;1933;0.3;86224;442044;61;80;22.5;32.4;5.8;0.4;0.3;70.3;39.9;35.6;30.6;19.5;;B1;;;
20230202;CDLL23;samtech;Comertrans;2221;0.0;86513;519695;57;56;23.8;33.4;9.0;1.0;0.0;57.3;33.1;28.1;22.4;7.9;;B1;;;
20230203;CDLL23;samtech;Comertrans;1926;0.0;83788;119;0;68;28.6;33.4;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230204;CDLL23;samtech;Comertrans;8;0;86523;0;0;10815;12.5;75.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230205;CDLL23;samtech;Comertrans;13;0;86524;0;0;10815;15.3;38.4;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230206;CDLL23;samtech;Comertrans;825;0.0;69230;155;0;141;26.1;32.1;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
20230207;CDLL23;samtech;Comertrans;19;0;86503;0;0;10812;10.5;21.0;5.2;0.0;0.0;0;0;0;0;0;;;;;
20230208;CDLL23;samtech;Comertrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;CDLL23;samtech;Comertrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;CDYR70;samtech;JPC;257;0.0;84152;53;0;576;36.9;10.5;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;;;;;
20230202;CDYR70;samtech;JPC;206;0.0;86012;1290;25;585;46.6;21.3;0.9;0.0;0.9;0.0;0.0;0.0;0.0;0.0;;;;;
20230203;CDYR70;samtech;JPC;34;0;86552;0;0;3606;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;;;
20230204;CDYR70;samtech;JPC;799;0.0;88482;114197;32;300;40.1;23.7;6.0;0.1;0.8;19.0;12.1;8.2;3.1;0.0;;;;;
20230205;CDYR70;samtech;JPC;2347;0.0;85800;217708;43;59;33.8;31.5;4.1;0.1;0.5;16.5;7.9;5.9;5.9;2.7;;;;;
20230206;CDYR70;samtech;JPC;2027;0.0;87286;120020;36;80;31.7;29.8;4.8;0.3;0.3;14.4;6.0;2.4;0.0;0.0;;;;;
20230207;CDYR70;samtech;JPC;2168;0.0;85320;155744;35;76;31.1;29.6;6.1;0.2;0.4;15.5;4.3;0.0;0.0;0.0;;;;;
20230208;CDYR70;samtech;JPC;1674;0.0;87525;157115;42;101;30.1;31.6;2.5;0.2;0.3;17.9;11.8;10.3;8.4;4.1;;B2;;;
20230209;CDYR70;samtech;JPC;544;0.0;37756;47146;33;145;33.0;29.9;6.6;0.5;0.7;14.6;8.9;0.0;0.0;0.0;;;;;
