Day;Asset;Provider;Flota;Num;%Anomaly;SumDT;SumDM;AvgDTM;AvgDTS;DT35;DT65;DT305;DT605;DT3605;LDD1000;LDD2000;LDD2500;LDD3000;LDD5000;A;B;C;D;E
20230201;BCHK66;samtech;Agretoc;2196;0.0;85967;300962;14;456;48.8;7.7;0.7;0.0;1.5;9.9;1.2;1.2;1.2;0.0;;;;;
20230202;BCHK66;samtech;Agretoc;4293;0.0;85930;603676;13;341;56.1;5.0;0.7;0.1;0.5;15.4;4.9;3.0;2.6;2.6;;;;;
20230203;BCHK66;samtech;Agretoc;2982;0.0;85674;402770;14;449;49.2;6.7;0.7;0.1;0.9;12.6;2.0;2.0;2.0;0.0;;;;;
20230204;BCHK66;samtech;Agretoc;2251;0.0;87374;401151;14;527;64.4;8.0;1.1;0.0;1.4;17.4;5.6;3.5;0.8;0.0;;;;;
20230205;BCHK66;samtech;Agretoc;2686;0.0;86392;402627;13;499;64.8;6.1;0.5;0.1;1.1;6.8;1.8;0.7;0.7;0.0;;;;;
20230206;BCHK66;samtech;Agretoc;3473;0.0;86656;456878;13;312;51.5;6.7;0.6;0.0;0.8;5.7;0.0;0.0;0.0;0.0;;;;;
20230207;BCHK66;samtech;Agretoc;2234;0.0;84872;272609;13;263;55.8;11.3;0.6;0.0;1.3;7.7;2.4;2.4;1.5;0.0;;;;;
20230208;BCHK66;samtech;Agretoc;1230;0.0;86578;198602;16;571;48.6;9.7;1.8;0.1;3.1;26.1;7.1;2.6;0.0;0.0;;;;;
20230209;BCHK66;samtech;Agretoc;3729;0.0;87758;592204;16;215;50.8;9.4;1.3;0.1;0.4;19.4;3.3;2.6;2.1;0.9;;;;;
20230201;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BFBX11;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BHKR59;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230202;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230203;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230204;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230205;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230206;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230207;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230208;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230209;BHZS23;samtech;Agretoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;E
20230201;BSWC36;samtech;Agretoc;35;0;82800;0;0;3600;0.0;0.0;0.0;0.0;65.7;0;0;0;0;0;;;;;
20230202;BSWC36;samtech;Agretoc;30;0;86411;0;0;3600;0.0;0.0;0.0;0.0;80.0;0;0;0;0;0;;;;;
20230203;BSWC36;samtech;Agretoc;35;0;86400;0;0;3600;0.0;0.0;0.0;0.0;68.5;0;0;0;0;0;;;;;
20230204;BSWC36;samtech;Agretoc;30;0.0;87033;145;0;3626;0.0;0.0;0.0;0.0;76.6;0.0;0.0;0.0;0.0;0.0;;;;;
20230205;BSWC36;samtech;Agretoc;34;0;86400;0;0;3600;0.0;0.0;0.0;0.0;70.5;0;0;0;0;0;;;;;
20230206;BSWC36;samtech;Agretoc;33;0;86400;0;0;3600;0.0;0.0;0.0;0.0;72.7;0;0;0;0;0;;;;;
20230207;BSWC36;samtech;Agretoc;38;0;86400;0;0;3600;0.0;0.0;0.0;0.0;63.1;0;0;0;0;0;;;;;
20230208;BSWC36;samtech;Agretoc;35;0;86400;0;0;3600;0.0;0.0;0.0;0.0;68.5;0;0;0;0;0;;;;;
20230209;BSWC36;samtech;Agretoc;32;0;86400;0;0;3600;0.0;0.0;0.0;0.0;75.0;0;0;0;0;0;;;;;
